Thu 22 Dec 2022 05:35:08 PM KST
NODELIST=vll1
MASTER_ADDR=vll1
conda 22.9.0
Python 3.8.11
Vit is used
[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.001, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='Freeze_extractor', model_name='vit', n=50, n_tasks=10, n_worker=0, note='[Freeze_extractor]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='sgd', reg_coef=100, rnd_seed=1, sched_name='cos', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (Freeze_extractor)
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] Freeze_extractor.py:209 > Train | Sample # 384 | train_loss 0.8769 | train_acc 0.7969 | lr 0.000961 | running_time 0:00:56 | ETA 2:00:48
[INFO] Freeze_extractor.py:209 > Train | Sample # 392 | train_loss 1.1719 | train_acc 0.7083 | lr 0.000946 | running_time 0:00:56 | ETA 1:59:57
[INFO] Freeze_extractor.py:209 > Train | Sample # 400 | train_loss 1.0765 | train_acc 0.7266 | lr 0.000928 | running_time 0:00:57 | ETA 1:59:06
[INFO] Freeze_extractor.py:219 > Test | Sample # 400 | test_loss 2.6574 | test_acc 0.4791 | 
[INFO] Freeze_extractor.py:209 > Train | Sample # 408 | train_loss 0.8518 | train_acc 0.8099 | lr 0.000908 | running_time 0:01:07 | ETA 2:15:57
[INFO] Freeze_extractor.py:209 > Train | Sample # 416 | train_loss 0.9764 | train_acc 0.7500 | lr 0.000886 | running_time 0:01:07 | ETA 2:14:51
[INFO] Freeze_extractor.py:209 > Train | Sample # 424 | train_loss 1.1671 | train_acc 0.7057 | lr 0.000861 | running_time 0:01:08 | ETA 2:13:47
[INFO] Freeze_extractor.py:209 > Train | Sample # 432 | train_loss 0.9914 | train_acc 0.7526 | lr 0.000835 | running_time 0:01:09 | ETA 2:12:45
[INFO] Freeze_extractor.py:209 > Train | Sample # 440 | train_loss 1.3035 | train_acc 0.6901 | lr 0.000806 | running_time 0:01:10 | ETA 2:11:45
[INFO] Freeze_extractor.py:209 > Train | Sample # 448 | train_loss 1.0236 | train_acc 0.7604 | lr 0.000777 | running_time 0:01:10 | ETA 2:10:48
[INFO] Freeze_extractor.py:209 > Train | Sample # 456 | train_loss 0.9517 | train_acc 0.7865 | lr 0.000745 | running_time 0:01:11 | ETA 2:09:52
