[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, data_dir='/local_datasets/puridiver/cifar100', dataset='cifar100', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=2000, mir_cands=50, mode='er', model_name='resnet34', n=50, n_tasks=10, n_worker=0, note='[ER-Adam]_iblurry_cifar100_3epoch', num_gpus=1, online_iter=3.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (er)
[Selected Model: resnet34
[INFO] main.py:110 > [2] Incrementally training 10 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 1000 | train_loss 2.9300 | train_acc 0.2786 | lr 0.000299 | running_time 0:02:48 | ETA 2:17:30
[INFO] er_baseline.py:208 > Test | Sample # 1000 | test_loss 12.2092 | test_acc 0.1039 | 
[INFO] er_baseline.py:198 > Train | Sample # 1008 | train_loss 2.1752 | train_acc 0.4375 | lr 0.000299 | running_time 0:02:51 | ETA 2:19:08
[INFO] er_baseline.py:198 > Train | Sample # 1016 | train_loss 2.3840 | train_acc 0.2500 | lr 0.000299 | running_time 0:02:53 | ETA 2:19:00
[INFO] er_baseline.py:198 > Train | Sample # 1024 | train_loss 2.2782 | train_acc 0.3229 | lr 0.000299 | running_time 0:02:54 | ETA 2:18:53
[INFO] er_baseline.py:198 > Train | Sample # 1032 | train_loss 3.5870 | train_acc 0.2917 | lr 0.000298 | running_time 0:02:55 | ETA 2:18:45
[INFO] er_baseline.py:198 > Train | Sample # 1040 | train_loss 2.4731 | train_acc 0.2682 | lr 0.000297 | running_time 0:02:56 | ETA 2:18:36
[INFO] er_baseline.py:198 > Train | Sample # 1048 | train_loss 4.1591 | train_acc 0.1771 | lr 0.000299 | running_time 0:02:57 | ETA 2:18:27
[INFO] er_baseline.py:198 > Train | Sample # 1056 | train_loss 2.7806 | train_acc 0.2812 | lr 0.000299 | running_time 0:02:59 | ETA 2:18:19
[INFO] er_baseline.py:198 > Train | Sample # 1064 | train_loss 2.9640 | train_acc 0.2474 | lr 0.000299 | running_time 0:03:00 | ETA 2:18:11
[INFO] er_baseline.py:198 > Train | Sample # 1072 | train_loss 3.1117 | train_acc 0.2057 | lr 0.000299 | running_time 0:03:01 | ETA 2:18:03
[INFO] er_baseline.py:198 > Train | Sample # 1080 | train_loss 3.0589 | train_acc 0.2865 | lr 0.000298 | running_time 0:03:02 | ETA 2:17:56
[INFO] er_baseline.py:198 > Train | Sample # 1088 | train_loss 3.0271 | train_acc 0.3073 | lr 0.000297 | running_time 0:03:03 | ETA 2:17:48
[INFO] er_baseline.py:198 > Train | Sample # 1096 | train_loss 2.9716 | train_acc 0.1641 | lr 0.000296 | running_time 0:03:05 | ETA 2:17:41
[INFO] er_baseline.py:208 > Test | Sample # 1100 | test_loss 8.2463 | test_acc 0.0610 | 
