[INFO] main.py:39 > Namespace(mode='clib', dataset='tinyimagenet', n_tasks=5, n=50, m=10, rnd_seed=1, memory_size=4000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=32, n_worker=0, lr=0.0003, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(64, 64), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.IMAGENET, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4802, 0.4481, 0.3975), std=(0.2302, 0.2265, 0.2262))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
[INFO] main.py:110 > [2] Incrementally training 5 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:198 > Train | Sample # 130 | train_loss 1.3869 | train_acc 0.6458 | lr 0.000300 | running_time 0:00:36 | ETA 7:49:28
[INFO] er_baseline.py:198 > Train | Sample # 131 | train_loss 2.3966 | train_acc 0.3438 | lr 0.000285 | running_time 0:00:36 | ETA 7:49:21
[INFO] er_baseline.py:198 > Train | Sample # 132 | train_loss 1.7482 | train_acc 0.5729 | lr 0.000285 | running_time 0:00:37 | ETA 7:49:42
[INFO] er_baseline.py:198 > Train | Sample # 133 | train_loss 1.3075 | train_acc 0.7292 | lr 0.000285 | running_time 0:00:37 | ETA 7:49:44
[INFO] er_baseline.py:198 > Train | Sample # 134 | train_loss 1.2630 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:37 | ETA 7:49:48
[INFO] er_baseline.py:198 > Train | Sample # 135 | train_loss 1.5205 | train_acc 0.6354 | lr 0.000285 | running_time 0:00:38 | ETA 7:49:55
[INFO] er_baseline.py:198 > Train | Sample # 136 | train_loss 1.9990 | train_acc 0.5729 | lr 0.000285 | running_time 0:00:38 | ETA 7:49:55
[INFO] er_baseline.py:198 > Train | Sample # 137 | train_loss 2.6150 | train_acc 0.3646 | lr 0.000285 | running_time 0:00:38 | ETA 7:49:59
[INFO] er_baseline.py:198 > Train | Sample # 138 | train_loss 2.3651 | train_acc 0.3333 | lr 0.000285 | running_time 0:00:38 | ETA 7:49:58
[INFO] er_baseline.py:198 > Train | Sample # 139 | train_loss 1.7413 | train_acc 0.6458 | lr 0.000285 | running_time 0:00:39 | ETA 7:50:03
