[INFO] main.py:39 > Namespace(mode='L2P', dataset='cifar100', n_tasks=10, n=50, m=10, rnd_seed=1, memory_size=2000, log_path='results', model_name='resnet34', opt_name='adam', sched_name='default', batchsize=16, n_worker=0, lr=0.03, init_model=False, init_opt=False, topk=1, use_amp=True, transforms=['cutmix', 'autoaug'], gpu_transform=True, reg_coef=100, data_dir=None, debug=False, note='clib', eval_period=100, temp_batchsize=None, online_iter=3.0, num_gpus=1, workers_per_gpu=1, imp_update_period=1, lr_step=0.95, lr_length=10, lr_period=10, memory_epoch=256, distilling=True, agem_batch=240, mir_cands=50)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.5071, 0.4867, 0.4408), std=(0.2675, 0.2565, 0.2761))
)
[INFO] main.py:104 > [1] Select a CIL method (L2P)
[INFO] main.py:110 > [2] Incrementally training 10 tasks
[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] L2P.py:339 > Train | Sample # 1008 | train_loss 40.0709 | train_acc 0.7422 | lr 0.022171 | running_time 0:10:20 | ETA 8:22:20
[INFO] L2P.py:339 > Train | Sample # 1016 | train_loss 41.2662 | train_acc 0.5365 | lr 0.022118 | running_time 0:10:23 | ETA 8:20:44
[INFO] L2P.py:339 > Train | Sample # 1024 | train_loss 40.6009 | train_acc 0.6823 | lr 0.022065 | running_time 0:10:26 | ETA 8:19:08
[INFO] L2P.py:339 > Train | Sample # 1032 | train_loss 41.3585 | train_acc 0.6536 | lr 0.022012 | running_time 0:10:29 | ETA 8:17:34
[INFO] L2P.py:339 > Train | Sample # 1040 | train_loss 40.5574 | train_acc 0.6589 | lr 0.021959 | running_time 0:10:32 | ETA 8:16:00
[INFO] L2P.py:339 > Train | Sample # 1048 | train_loss 40.7399 | train_acc 0.6536 | lr 0.021906 | running_time 0:10:35 | ETA 8:14:29
[INFO] L2P.py:339 > Train | Sample # 1056 | train_loss 40.7801 | train_acc 0.6589 | lr 0.021854 | running_time 0:10:38 | ETA 8:12:58
[INFO] L2P.py:339 > Train | Sample # 1064 | train_loss 40.3748 | train_acc 0.7240 | lr 0.021802 | running_time 0:10:41 | ETA 8:11:29
[INFO] L2P.py:339 > Train | Sample # 1072 | train_loss 41.1435 | train_acc 0.6641 | lr 0.021749 | running_time 0:10:44 | ETA 8:10:02
[INFO] L2P.py:339 > Train | Sample # 1080 | train_loss 40.5803 | train_acc 0.7396 | lr 0.021697 | running_time 0:10:47 | ETA 8:08:37
[INFO] L2P.py:339 > Train | Sample # 1088 | train_loss 41.1135 | train_acc 0.6849 | lr 0.021645 | running_time 0:10:50 | ETA 8:07:12
[INFO] L2P.py:339 > Train | Sample # 1096 | train_loss 41.0589 | train_acc 0.6380 | lr 0.021593 | running_time 0:10:53 | ETA 8:05:47
[INFO] L2P.py:349 > Test | Sample # 1100 | test_loss 1116.0222 | test_acc 0.3856 | 
[INFO] L2P.py:339 > Train | Sample # 1104 | train_loss 40.4057 | train_acc 0.7422 | lr 0.021541 | running_time 0:11:33 | ETA 8:31:41
[INFO] L2P.py:339 > Train | Sample # 1112 | train_loss 40.8911 | train_acc 0.7109 | lr 0.021490 | running_time 0:11:36 | ETA 8:30:08
[INFO] L2P.py:339 > Train | Sample # 1120 | train_loss 40.7469 | train_acc 0.7031 | lr 0.021438 | running_time 0:11:39 | ETA 8:28:35
[INFO] L2P.py:339 > Train | Sample # 1128 | train_loss 40.5440 | train_acc 0.6901 | lr 0.021387 | running_time 0:11:42 | ETA 8:27:03
[INFO] L2P.py:339 > Train | Sample # 1136 | train_loss 40.4802 | train_acc 0.6979 | lr 0.021336 | running_time 0:11:45 | ETA 8:25:34
[INFO] L2P.py:339 > Train | Sample # 1144 | train_loss 40.5563 | train_acc 0.6510 | lr 0.021285 | running_time 0:11:48 | ETA 8:24:05
[INFO] L2P.py:339 > Train | Sample # 1152 | train_loss 40.5800 | train_acc 0.7865 | lr 0.021233 | running_time 0:11:51 | ETA 8:22:39
